dataset\track_1\images\center_2020_02_11_10_47_43_950.jpg,dataset\track_1\images\left_2020_02_11_10_47_43_950.jpg,dataset\track_1\images\right_2020_02_11_10_47_43_950.jpg,0,1,0,9.467612
dataset\track_1\images\center_2020_02_11_10_47_44_020.jpg,dataset\track_1\images\left_2020_02_11_10_47_44_020.jpg,dataset\track_1\images\right_2020_02_11_10_47_44_020.jpg,0,1,0,10.13646
dataset\track_1\images\center_2020_02_11_10_47_44_090.jpg,dataset\track_1\images\left_2020_02_11_10_47_44_090.jpg,dataset\track_1\images\right_2020_02_11_10_47_44_090.jpg,0,1,0,11.02211
dataset\track_1\images\center_2020_02_11_10_47_44_160.jpg,dataset\track_1\images\left_2020_02_11_10_47_44_160.jpg,dataset\track_1\images\right_2020_02_11_10_47_44_160.jpg,0,1,0,11.51567
dataset\track_1\images\center_2020_02_11_10_47_44_232.jpg,dataset\track_1\images\left_2020_02_11_10_47_44_232.jpg,dataset\track_1\images\right_2020_02_11_10_47_44_232.jpg,0,1,0,12.5355
dataset\track_1\images\center_2020_02_11_10_47_44_304.jpg,dataset\track_1\images\left_2020_02_11_10_47_44_304.jpg,dataset\track_1\images\right_2020_02_11_10_47_44_304.jpg,0,1,0,13.08142
dataset\track_1\images\center_2020_02_11_10_47_44_373.jpg,dataset\track_1\images\left_2020_02_11_10_47_44_373.jpg,dataset\track_1\images\right_2020_02_11_10_47_44_373.jpg,0,1,0,14.19611
dataset\track_1\images\center_2020_02_11_10_47_44_442.jpg,dataset\track_1\images\left_2020_02_11_10_47_44_442.jpg,dataset\track_1\images\right_2020_02_11_10_47_44_442.jpg,0,1,0,14.57504
dataset\track_1\images\center_2020_02_11_10_47_44_511.jpg,dataset\track_1\images\left_2020_02_11_10_47_44_511.jpg,dataset\track_1\images\right_2020_02_11_10_47_44_511.jpg,0,1,0,15.38842
dataset\track_1\images\center_2020_02_11_10_47_44_581.jpg,dataset\track_1\images\left_2020_02_11_10_47_44_581.jpg,dataset\track_1\images\right_2020_02_11_10_47_44_581.jpg,0,1,0,16.30943
