dataset\track_2\images\center_2020_02_11_14_12_53_454.jpg,dataset\track_2\images\left_2020_02_11_14_12_53_454.jpg,dataset\track_2\images\right_2020_02_11_14_12_53_454.jpg,0,0,0,12.05885
dataset\track_2\images\center_2020_02_11_14_12_53_526.jpg,dataset\track_2\images\left_2020_02_11_14_12_53_526.jpg,dataset\track_2\images\right_2020_02_11_14_12_53_526.jpg,0,0.0418923,0,12.11453
dataset\track_2\images\center_2020_02_11_14_12_53_594.jpg,dataset\track_2\images\left_2020_02_11_14_12_53_594.jpg,dataset\track_2\images\right_2020_02_11_14_12_53_594.jpg,0,0.2319195,0,12.02892
dataset\track_2\images\center_2020_02_11_14_12_53_666.jpg,dataset\track_2\images\left_2020_02_11_14_12_53_666.jpg,dataset\track_2\images\right_2020_02_11_14_12_53_666.jpg,0,0.4639142,0,12.3901
dataset\track_2\images\center_2020_02_11_14_12_53_734.jpg,dataset\track_2\images\left_2020_02_11_14_12_53_734.jpg,dataset\track_2\images\right_2020_02_11_14_12_53_734.jpg,0,0.6481419,0,12.42564
dataset\track_2\images\center_2020_02_11_14_12_53_807.jpg,dataset\track_2\images\left_2020_02_11_14_12_53_807.jpg,dataset\track_2\images\right_2020_02_11_14_12_53_807.jpg,0,0.8845577,0,13.2955
dataset\track_2\images\center_2020_02_11_14_12_53_874.jpg,dataset\track_2\images\left_2020_02_11_14_12_53_874.jpg,dataset\track_2\images\right_2020_02_11_14_12_53_874.jpg,0,1,0,14.03144
dataset\track_2\images\center_2020_02_11_14_12_53_941.jpg,dataset\track_2\images\left_2020_02_11_14_12_53_941.jpg,dataset\track_2\images\right_2020_02_11_14_12_53_941.jpg,0,1,0,14.52258
dataset\track_2\images\center_2020_02_11_14_12_54_014.jpg,dataset\track_2\images\left_2020_02_11_14_12_54_014.jpg,dataset\track_2\images\right_2020_02_11_14_12_54_014.jpg,0,1,0,15.40632
dataset\track_2\images\center_2020_02_11_14_12_54_081.jpg,dataset\track_2\images\left_2020_02_11_14_12_54_081.jpg,dataset\track_2\images\right_2020_02_11_14_12_54_081.jpg,0,1,0,16.11864
dataset\track_2\images\center_2020_02_11_14_12_54_154.jpg,dataset\track_2\images\left_2020_02_11_14_12_54_154.jpg,dataset\track_2\images\right_2020_02_11_14_12_54_154.jpg,0.05,0.8557588,0,16.90529
dataset\track_2\images\center_2020_02_11_14_12_54_227.jpg,dataset\track_2\images\left_2020_02_11_14_12_54_227.jpg,dataset\track_2\images\right_2020_02_11_14_12_54_227.jpg,0.25,0.6146999,0,17.43499
